  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1945-01,4.69,5.02,2.99,1.75,3.18
1945-02,7.24,9.11,5.89,6.28,10.48
1945-03,-4.83,-6.34,-6.06,-3.34,-5.42
1945-04,8.85,8.78,8.61,9.73,9.39
1945-05,4.44,1.62,1.05,3.96,3.94
1945-06,2.44,3.28,0.05,-3.29,8.6
1945-07,-2.26,-3.48,-3.69,-2.09,-5.69
1945-08,7.85,7.04,7.92,9.96,2.53
1945-09,5.84,6.69,4.48,6.96,6.71
1945-10,7.66,5.73,2.85,7.62,7.74
1945-11,10.27,8.46,7.09,9.49,12.1
1945-12,3.4,2.02,2.79,2.81,1.47
1946-01,8.78,9.46,6.29,9.56,11.6
1946-02,-6.35,-6.28,-7.79,-4.32,-7.37
1946-03,6.88,6.4,2.67,15.6,2.81
1946-04,6.84,5.13,2.08,13.6,3.41
1946-05,5.5,6.1,5.73,5.93,3.95
1946-06,-5.73,-4.36,-6.03,-6.93,-4.31
1946-07,-3.21,-4.22,-5.24,-3.9,-5.45
1946-08,-7.75,-6.88,-8.63,-4.91,-8.53
1946-09,-13.27,-12.9,-13.16,-7.74,-16.08
1946-10,-1.01,-1.56,-2.7,-2.37,-0.45
1946-11,-1.76,0.87,-1.61,1.18,-0.55
1946-12,4.17,6.43,7.01,7.23,0.75
1947-01,3.09,2.51,5.16,-2.73,4.03
1947-02,-0.15,-0.59,-2.79,-4.21,-0.32
1947-03,-3.42,-2.2,-3.34,-1.26,-4.43
1947-04,-9.29,-7.12,-7.83,-8.46,-9.1
1947-05,-3.65,-3.89,-2.92,-5.38,-4.22
1947-06,6.67,5.58,6.3,3.07,4.73
1947-07,6.06,6.21,6.89,3.97,6.78
1947-08,-1.67,-0.91,-2.48,-4.93,-3.47
1947-09,0.34,1.2,1.79,-3.97,-0.55
1947-10,3.84,3.98,3.06,3.6,0.88
1947-11,-3.16,-2.97,-2.62,-2.87,-2.9
1947-12,0.17,3.19,0.91,0.87,4.74
1948-01,-2.43,-2.34,-2.4,-5.61,2.42
1948-02,-6.51,-5.75,-5.95,-4.78,-5.66
1948-03,7.16,10.81,11.95,6.51,10.87
1948-04,3.24,4.11,2.57,1.52,4.85
1948-05,9.29,8.37,11.55,7.24,8.43
1948-06,-2.2,-1.09,-0.27,-1.03,-1.42
1948-07,-4.64,-5.57,-6.63,-4.64,-5.46
1948-08,-0.06,-0.34,-0.2,-1.91,0.04
1948-09,-4.17,-3.99,-4.37,-3.42,-5.24
1948-10,4.09,5.95,5.4,5.13,6.03
1948-11,-9.74,-11.23,-10.33,-7.32,-11.58
1948-12,-0.74,2.07,5.58,2.68,1.54
1949-01,3.23,1.06,-1.34,4.85,2.02
1949-02,-4.14,-3.72,-6.85,-2.45,-4.21
1949-03,5.81,5.94,5.11,6.21,6.47
1949-04,-2.92,-3.67,-5.61,0.26,-1.75
1949-05,-2.78,-4.76,-6.11,-2.68,-5.52
1949-06,0.76,-1.38,-2.59,1.04,-1.66
1949-07,6.07,6.48,7.14,5.39,5.72
1949-08,2.41,3.03,1.54,0.81,1.96
1949-09,4.1,4.17,6.51,3.5,4.54
1949-10,3.62,3.84,4.66,3.45,4.72
