  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
2012-02,5.22,3.65,3.95,4.05,3.66
2012-03,3.73,-0.22,2.61,4.42,4.88
2012-04,-0.53,-1.41,-2.97,-1.56,-0.65
2012-05,-5.47,-10.81,-8.3,-5.64,-5.26
2012-06,2.02,3.09,3.75,7.36,3.69
2012-07,-0.95,-0.84,-2.02,0.91,-1.4
2012-08,3.07,2.07,3.34,2.24,2.54
2012-09,3.25,3.52,2.84,6.39,3.96
2012-10,-1.13,-1.38,-4.61,-5.24,0.28
2012-11,1.98,0.39,-0.23,0.62,-0.31
2012-12,1.86,2.89,2.96,-0.68,3.48
2013-01,6.67,7.08,6.77,9.07,7.54
2013-02,0.97,0.36,0.98,-0.28,2.13
2013-03,5.48,3.21,4.2,5.17,4.37
2013-04,1.49,-1.14,0.1,1.08,-0.81
2013-05,5.43,4.02,5.63,4.45,4.54
2013-06,0.39,-1.76,1.08,-1.27,0.25
2013-07,6.06,6.9,8.04,10.71,6.87
2013-08,-3.06,-1.55,-1.4,-1.74,-2.41
2013-09,5.53,5.77,6.29,9.15,4.27
2013-10,3.11,4.6,2.34,-1.86,2.83
2013-11,3.33,2.13,4.44,8.34,4.17
2013-12,1.76,3.19,3.94,4.06,1.98
2014-01,-4.22,-1.57,1.4,9.18,-1.55
2014-02,4.82,5.33,4.45,5.96,3.64
2014-03,1.29,1.57,-1.34,-3.91,0.93
2014-04,-3.13,-0.43,-6.37,-7.8,-2.73
2014-05,0.12,-0.54,0.22,0.88,0.16
2014-06,2.28,4.97,5.33,7.34,3.56
2014-07,-4.5,-5.8,-4.99,-6.96,-3.41
2014-08,5.79,4.21,3.45,4.68,3.29
2014-09,-4.12,-8.08,-4.41,-4.92,-3.4
2014-10,3.74,-0.77,1.87,5.1,4.01
2014-11,2.11,-5.45,1.54,0.52,0.4
2014-12,1.52,-1.91,1.86,5.27,2.88
2015-01,-2.72,-5.65,-3.25,2.73,-4.95
2015-02,4.84,7.56,7.35,9.24,5
2015-03,1.33,-2.38,-1.19,1.11,1.13
2015-04,-1.59,4.39,1.29,-4.17,-0.13
2015-05,0.18,-2.66,2.13,5.39,0.47
2015-06,-0.18,-3.83,-1.25,2.56,1.29
2015-07,-1.82,-8.57,-3.69,-0.41,-1.26
2015-08,-4.56,-2.33,-5.64,-7.14,-4.04
2015-09,-5.34,-9.56,-3.1,-11.49,-2.62
2015-10,4.4,7.56,5.93,2.88,4.87
2015-11,-0.41,-1.22,2.36,7.65,2.26
2015-12,-3.55,-7.31,-3.63,-5.74,-4.04
2016-01,-6.55,-8.09,-8.51,-18.49,-7.63
2016-02,3.43,-0.11,0.9,-3.04,0.32
2016-03,6.96,13.25,6.6,7.57,7.33
2016-04,0.71,8.36,1.31,5.14,3.46
2016-05,-2.27,-1.88,3.28,1.32,1.03
2016-06,0.95,1.43,1.6,-4.43,-1.18
2016-07,6.37,4.44,6.76,6.15,5.13
2016-08,1.66,2.69,2.58,0.88,2.81
2016-09,-0.69,1.79,1.86,7.91,0.87
2016-10,-4.17,-4.58,-5.15,-13.66,-2.13
2016-11,8.12,11.82,5.01,5.28,13
2016-12,1.86,1.6,0.74,-2.62,5.43
2017-01,-2.41,2.08,3.52,4.84,0.83
2017-02,-0.14,-0.52,2.04,6.36,1.57
2017-03,0.75,-0.38,1.62,2.15,-0.56
2017-04,1.63,-0.87,2.3,-3.1,0.43
2017-05,-2.38,-2.56,1.47,-4.92,-2.68
2017-06,1.02,0.71,1.19,10.29,4.63
2017-07,-1.84,0.85,1.46,-2.72,0.28
2017-08,-3.52,-3.74,-0.81,1.31,-1.9
2017-09,6.41,8.76,5.68,8.33,6.85
2017-10,-1.96,0.64,1.75,-2.31,0.71
2017-11,6.46,3.4,1.92,2.5,3.26
2017-12,2.89,2.27,1.21,1,-0.17
2018-01,1.68,0.33,3.98,6.89,2.64
2018-02,-4.71,-6.6,-1.63,-3.55,-4.01
2018-03,0.47,1.65,0.16,0.23,1.29
2018-04,0.91,2.29,-0.01,-0.21,0.97
2018-05,3.87,5.11,5.53,7.52,3.44
2018-06,4.15,1.76,1.28,-2.47,0.49
2018-07,0.14,1.61,-0.12,-1.55,1
2018-08,4.32,-0.84,7.34,5.84,1.83
2018-09,-2.06,-0.35,-1.97,-1.19,-2.42
2018-10,-8.26,-11.71,-10.29,-14.41,-8.07
2018-11,-1.35,-2.17,0.49,-0.38,0.57
2018-12,-12.93,-14.04,-10.26,-18.38,-11.22
2019-01,12.22,14.35,15.43,17.84,13.23
2019-02,4.3,4.12,6.38,6.56,4.55
2019-03,-3.38,-1.86,-0.83,3,-3.21
2019-04,2.55,2.49,4.72,-2.69,4.29
2019-05,-10.57,-11.16,-7.94,-8.37,-6.04
2019-06,6.37,6.84,5.06,4.41,5.57
2019-07,-0.03,-2.85,0.82,-4.95,0.69
2019-08,-3.94,-8.59,-5.41,-5.01,-4.52
2019-09,5.52,5.64,0.2,-2.97,3.24
2019-10,-0.07,-2.42,1.29,-0.25,1.21
2019-11,3.44,-0.12,4.55,8.16,3.07
2019-12,2.35,7.27,3.23,9.66,3.26
2020-01,-4.21,-6.62,1.18,4.26,-2.83
2020-02,-9.4,-11.24,-7.16,-0.81,-8.8
2020-03,-24.04,-27.45,-18.81,-17.28,-25.11
2020-04,21.62,26.88,20.23,21.68,12.36
